step,loss
00985,5.8803
00986,5.8854
00987,5.8768
00988,5.8803
00989,5.8713
00990,5.8772
00991,5.8853
00992,5.8846
00993,5.8767
00994,5.8769
00995,5.8896
00996,5.8817
00997,5.8862
00998,5.8710
00999,5.8658
01000,5.8640
01001,5.8682
01002,5.8683
01003,5.8797
01004,5.8713
01005,5.8896
01006,5.8843
01007,5.8804
01008,5.8785
01009,5.8974
01010,5.9125
01011,5.8953
01012,5.8879
01013,5.8785
01014,5.8892
01015,5.8991
01016,5.8872
01017,5.8791
01018,5.8730
01019,5.8826
01020,5.8900
01021,5.8853
01022,5.8726
01023,5.8682
01024,5.8694
01025,5.8807
01026,5.8835
01027,5.8796
01028,5.8884
01029,5.8730
01030,5.8779
01031,5.8798
01032,5.9070
01033,5.9177
01034,5.8911
01035,5.8758
01036,5.8789
01037,5.8783
01038,5.8708
01039,5.8835
01040,5.8893
01041,5.8918
01042,5.8853
01043,5.8833
01044,5.8752
01045,5.8802
01046,5.8811
01047,5.8829
01048,5.8859
01049,5.8777
01050,5.8731
01051,5.8683
01052,5.8673
01053,5.8683
01054,5.8702
01055,5.8835
01056,5.9027
01057,5.8927
01058,5.9025
01059,5.8774
01060,5.8847
01061,5.8780
01062,5.8680
01063,5.8802
01064,5.8722
01065,5.8732
01066,5.8838
01067,5.8907
01068,5.8877
01069,5.8829
01070,5.8798
01071,5.8853
01072,5.8784
01073,5.8756
01074,5.8814
01075,5.8871
01076,5.8786
01077,5.8856
01078,5.8942
01079,5.8686
01080,5.8726
01081,5.8771
01082,5.8814
01083,5.8778
01084,5.8766
01085,5.8878
01086,5.8837
01087,5.8806
01088,5.8825
01089,5.8778
01090,5.8858
01091,5.8783
01092,5.8779
01093,5.8762
01094,5.8813
01095,5.8886
01096,5.8876
01097,5.8935
01098,5.8728
01099,5.8866
01100,5.9005
01101,5.8728
01102,5.8843
01103,5.8701
01104,5.8644
01105,5.8789
01106,5.8690
01107,5.8849
01108,5.8705
01109,5.8702
01110,5.8781
01111,5.8743
01112,5.8810
01113,5.8701
01114,5.8787
01115,5.8742
01116,5.8831
01117,5.8737
01118,5.8771
01119,5.8808
01120,5.8921
01121,5.8853
01122,5.8633
01123,5.8637
01124,5.8748
01125,5.8823
01126,5.8814
01127,5.8814
01128,5.8830
01129,5.8764
01130,5.8742
01131,5.8802
01132,5.8770
01133,5.8723
01134,5.8705
01135,5.8805
01136,5.8795
01137,5.8876
01138,5.9043
01139,5.8874
01140,5.8785
01141,5.8645
01142,5.8799
01143,5.8849
01144,5.8769
01145,5.8777
01146,5.8728
01147,5.8733
01148,5.8742
01149,5.8853
01150,5.8937
01151,5.8759
01152,5.8859
01153,5.8785
01154,5.8762
01155,5.8729
01156,5.8716
01157,5.8769
01158,5.8779
01159,5.8733
01160,5.8815
01161,5.8834
01162,5.8798
01163,5.8706
01164,5.8788
01165,5.8826
01166,5.8741
01167,5.8781
01168,5.8784
01169,5.8760
01170,5.8777
01171,5.8734
01172,5.8630
01173,5.8870
01174,5.8688
01175,5.8764
01176,5.8632
01177,5.8647
01178,5.8654
01179,5.8649
01180,5.8757
01181,5.8694
01182,5.8752
01183,5.8742
01184,5.9002
01185,5.8872
01186,5.8796
01187,5.8677
01188,5.8759
01189,5.8788
01190,5.8781
01191,5.8748
01192,5.8690
01193,5.8826
01194,5.9046
01195,5.9088
01196,5.8863
01197,5.8727
01198,5.8745
01199,5.8735
01200,5.8721
01201,5.8630
01202,5.8833
01203,5.8726
01204,5.8728
01205,5.8715
01206,5.8671
01207,5.8623
01208,5.8596
01209,5.8653
01210,5.8730
01211,5.8668
