step,loss
01102,6.2377
01103,6.2504
01104,6.2648
01105,6.2612
01106,6.2638
01107,6.2601
01108,6.2721
01109,6.3164
01110,6.2663
01111,6.2538
01112,6.2575
01113,6.2438
01114,6.2328
01115,6.2554
01116,6.2830
01117,6.2755
01118,6.2799
01119,6.2391
01120,6.2597
01121,6.2785
01122,6.2672
01123,6.2837
01124,6.2835
01125,6.2791
01126,6.2471
01127,6.2378
01128,6.2534
01129,6.2698
01130,6.2691
01131,6.2699
01132,6.2872
01133,6.2775
01134,6.3084
01135,6.2563
01136,6.2358
01137,6.2540
01138,6.2551
01139,6.2388
01140,6.2610
01141,6.2353
01142,6.2627
01143,6.2617
01144,6.2748
01145,6.2331
01146,6.2328
01147,6.2580
01148,6.3044
01149,6.2673
01150,6.2651
01151,6.2474
01152,6.2559
01153,6.2937
01154,6.2617
01155,6.2634
01156,6.2357
01157,6.2489
01158,6.2478
01159,6.2659
01160,6.2607
01161,6.2571
01162,6.2663
01163,6.2540
01164,6.2563
01165,6.2580
01166,6.2474
01167,6.2540
01168,6.2456
01169,6.2397
01170,6.2333
01171,6.2516
01172,6.2864
01173,6.2769
01174,6.2680
01175,6.2157
01176,6.2433
01177,6.2492
01178,6.2719
01179,6.2624
01180,6.2846
01181,6.2509
01182,6.2581
01183,6.2564
01184,6.2613
01185,6.2321
01186,6.2309
01187,6.2453
01188,6.2359
01189,6.2393
01190,6.2457
01191,6.2545
01192,6.2371
01193,6.2308
01194,6.2632
01195,6.2410
01196,6.2414
01197,6.2520
01198,6.2521
01199,6.2413
01200,6.2306
01201,6.2428
01202,6.2748
01203,6.2382
01204,6.2472
01205,6.2506
01206,6.2674
01207,6.2274
01208,6.2745
01209,6.2632
01210,6.2271
01211,6.2482
01212,6.2557
01213,6.2404
01214,6.2320
01215,6.2354
01216,6.2516
01217,6.2249
01218,6.2399
01219,6.2608
01220,6.2851
01221,6.2755
01222,6.2552
01223,6.2369
01224,6.2413
01225,6.2529
01226,6.2448
01227,6.2828
01228,6.2792
01229,6.2542
01230,6.2264
01231,6.2200
01232,6.2232
01233,6.2097
01234,6.2242
01235,6.2231
01236,6.2208
01237,6.2048
01238,6.2283
01239,6.2349
01240,6.2572
01241,6.2647
01242,6.2411
01243,6.2379
01244,6.2078
01245,6.2586
01246,6.2490
01247,6.2608
01248,6.2500
01249,6.2351
01250,6.2203
01251,6.2448
01252,6.2318
01253,6.2114
01254,6.2225
01255,6.2581
01256,6.2421
01257,6.2203
01258,6.2368
01259,6.2550
01260,6.2399
01261,6.2311
01262,6.2366
01263,6.2281
01264,6.2289
01265,6.2194
01266,6.2450
01267,6.2501
01268,6.2318
01269,6.2623
01270,6.2563
01271,6.2209
01272,6.2256
01273,6.2362
01274,6.1987
01275,6.2089
01276,6.2238
01277,6.2028
01278,6.2099
01279,6.2093
01280,6.2148
01281,6.2180
01282,6.2290
01283,6.2055
01284,6.2226
01285,6.2565
01286,6.2684
01287,6.2634
01288,6.2364
01289,6.2161
01290,6.2291
01291,6.2084
01292,6.2241
01293,6.2508
01294,6.2455
01295,6.2390
01296,6.2348
01297,6.2218
01298,6.2275
01299,6.1978
01300,6.2148
01301,6.2324
01302,6.2313
01303,6.2262
01304,6.2486
01305,6.2437
01306,6.2614
01307,6.2467
01308,6.2033
01309,6.2132
01310,6.2016
01311,6.2298
01312,6.2518
01313,6.2469
01314,6.2319
01315,6.2390
01316,6.2616
01317,6.2536
01318,6.2527
01319,6.2562
01320,6.2195
01321,6.2176
01322,6.2300
01323,6.2215
01324,6.2311
01325,6.2261
01326,6.2198
01327,6.2117
01328,6.2319
01329,6.2410
01330,6.2180
01331,6.2439
01332,6.2361
01333,6.2274
01334,6.2372
01335,6.2250
01336,6.2525
01337,6.2205
01338,6.2276
01339,6.2136
01340,6.2100
01341,6.2320
01342,6.2281
01343,6.2212
01344,6.2069
01345,6.2063
01346,6.2008
01347,6.2404
01348,6.2456
01349,6.2555
01350,6.2368
01351,6.1969
01352,6.2108
01353,6.2003
01354,6.2373
01355,6.2274
01356,6.2733
01357,6.2490
01358,6.2405
01359,6.2185
01360,6.2325
01361,6.2291
01362,6.2252
01363,6.2149
01364,6.2157
01365,6.2301
01366,6.2160
01367,6.2197
01368,6.2131
01369,6.2280
01370,6.1949
01371,6.2026
01372,6.2187
01373,6.1914
01374,6.2073
01375,6.2197
01376,6.2439
01377,6.2559
01378,6.2364
01379,6.2011
01380,6.2015
01381,6.1938
01382,6.2054
01383,6.2253
01384,6.2300
01385,6.2348
01386,6.2123
01387,6.2101
01388,6.1904
01389,6.1741
01390,6.2104
01391,6.2579
01392,6.2718
01393,6.2322
01394,6.2176
01395,6.2023
01396,6.1999
01397,6.2153
01398,6.2257
01399,6.2274
01400,6.2166
01401,6.2134
01402,6.2110
01403,6.2020
01404,6.1828
01405,6.2022
01406,6.2033
01407,6.1973
01408,6.2147
01409,6.2185
01410,6.2277
01411,6.2432
01412,6.1958
01413,6.1817
01414,6.1866
01415,6.2277
01416,6.2309
01417,6.2473
01418,6.2126
01419,6.2077
01420,6.2027
01421,6.2045
01422,6.2312
01423,6.1995
01424,6.2307
01425,6.2250
01426,6.2140
01427,6.2000
01428,6.1934
01429,6.2145
01430,6.1947
01431,6.1859
01432,6.1989
01433,6.1854
01434,6.1982
01435,6.1902
01436,6.2011
01437,6.2237
01438,6.2523
01439,6.2356
01440,6.2191
01441,6.2257
01442,6.2098
01443,6.1917
01444,6.1800
01445,6.1774
01446,6.1969
01447,6.2157
01448,6.2236
01449,6.2086
01450,6.2297
01451,6.2366
01452,6.1984
01453,6.1947
01454,6.1990
01455,6.2127
01456,6.2051
01457,6.1974
01458,6.1896
01459,6.2046
01460,6.2168
01461,6.1856
01462,6.2054
01463,6.2061
01464,6.1824
01465,6.1918
01466,6.1931
01467,6.1973
01468,6.2017
01469,6.2209
01470,6.2031
01471,6.2324
01472,6.2272
01473,6.2231
01474,6.2101
01475,6.2190
01476,6.2281
01477,6.2346
01478,6.2122
01479,6.1993
01480,6.1941
01481,6.1757
01482,6.1787
01483,6.1884
01484,6.1836
01485,6.2192
01486,6.1992
01487,6.1962
01488,6.1857
01489,6.1833
01490,6.2072
01491,6.2064
01492,6.2061
01493,6.1767
01494,6.1875
01495,6.1952
01496,6.1998
01497,6.1944
01498,6.2264
01499,6.2355
01500,6.2151
01501,6.2018
01502,6.2169
01503,6.1899
01504,6.1938
01505,6.2232
01506,6.2232
01507,6.2171
01508,6.2060
01509,6.1815
01510,6.1929
01511,6.1590
01512,6.1800
01513,6.1537
01514,6.1723
01515,6.2152
01516,6.2243
01517,6.2149
01518,6.2023
01519,6.2038
01520,6.2003
01521,6.1860
01522,6.1850
01523,6.2116
01524,6.2045
01525,6.2036
01526,6.1993
01527,6.2239
01528,6.1956
01529,6.1795
01530,6.1807
01531,6.2111
01532,6.2091
01533,6.2039
01534,6.2183
01535,6.2171
01536,6.1859
01537,6.1773
01538,6.1684
01539,6.1616
01540,6.1677
01541,6.1975
01542,6.1925
01543,6.2003
01544,6.1884
01545,6.1882
01546,6.2195
01547,6.2063
01548,6.1993
01549,6.1932
01550,6.1968
01551,6.1754
01552,6.1627
01553,6.2043
01554,6.1889
01555,6.1565
01556,6.1620
01557,6.1689
01558,6.1752
01559,6.1806
01560,6.1689
01561,6.1924
01562,6.1831
01563,6.1904
01564,6.1879
01565,6.2171
01566,6.2566
01567,6.2133
01568,6.2342
01569,6.1863
01570,6.1886
01571,6.1564
01572,6.1604
01573,6.1616
01574,6.1685
01575,6.1745
01576,6.1996
01577,6.1910
01578,6.1904
01579,6.1784
01580,6.1940
01581,6.2095
01582,6.2071
01583,6.2092
01584,6.2093
01585,6.1759
01586,6.1813
01587,6.1830
01588,6.1848
01589,6.1770
01590,6.1846
01591,6.1756
01592,6.1564
01593,6.1606
01594,6.1614
01595,6.1606
01596,6.1758
01597,6.1911
01598,6.1942
01599,6.1653
01600,6.1670
01601,6.1802
01602,6.1851
01603,6.1951
01604,6.2231
01605,6.1982
01606,6.1944
01607,6.1631
01608,6.1829
01609,6.1564
01610,6.1546
01611,6.1760
01612,6.1918
01613,6.1932
01614,6.1859
01615,6.1550
01616,6.1754
01617,6.1605
01618,6.1779
01619,6.1711
01620,6.1686
01621,6.1628
01622,6.1637
01623,6.1832
01624,6.1943
01625,6.2012
01626,6.1461
01627,6.1449
01628,6.1643
01629,6.1794
01630,6.1618
01631,6.1775
01632,6.1738
01633,6.1608
01634,6.1620
01635,6.1749
01636,6.1592
01637,6.1718
01638,6.1752
01639,6.1932
01640,6.1790
01641,6.2231
01642,6.2215
01643,6.1814
01644,6.1597
01645,6.1486
01646,6.1651
01647,6.1887
01648,6.1732
01649,6.1747
01650,6.1287
01651,6.1537
01652,6.1612
01653,6.1609
01654,6.1742
01655,6.1684
01656,6.1779
01657,6.1930
01658,6.2134
01659,6.1981
01660,6.1640
01661,6.1663
01662,6.1574
01663,6.1442
01664,6.1689
01665,6.1693
01666,6.1807
01667,6.1554
01668,6.1631
01669,6.1294
01670,6.1508
01671,6.1408
01672,6.1586
01673,6.1435
01674,6.1456
01675,6.1622
01676,6.1895
01677,6.1595
01678,6.1441
01679,6.1485
01680,6.1519
01681,6.1587
01682,6.1516
01683,6.1503
01684,6.1638
01685,6.1851
01686,6.1644
01687,6.1426
01688,6.1402
01689,6.1488
01690,6.1314
01691,6.1249
01692,6.1327
01693,6.1588
01694,6.1624
01695,6.1668
01696,6.1818
01697,6.1734
01698,6.1766
01699,6.1948
01700,6.1719
01701,6.1528
01702,6.1556
01703,6.1443
01704,6.1354
01705,6.1474
01706,6.1341
01707,6.1422
01708,6.1406
01709,6.1366
01710,6.1496
01711,6.1471
01712,6.1635
01713,6.1529
01714,6.1414
01715,6.1508
01716,6.1591
01717,6.1782
01718,6.1546
01719,6.1377
01720,6.1269
01721,6.1315
01722,6.1445
01723,6.1381
01724,6.1366
01725,6.1438
01726,6.1448
01727,6.1850
01728,6.1663
01729,6.1559
01730,6.1635
01731,6.1714
01732,6.1769
01733,6.1498
01734,6.1243
01735,6.1273
01736,6.1318
01737,6.1337
01738,6.1265
01739,6.1555
01740,6.1615
01741,6.1626
01742,6.1534
01743,6.1416
01744,6.1602
01745,6.1735
01746,6.1355
